Id,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city,brand_rank,car_age
242,2015,Hyundai,Hyundai i20 Active 1.4L SX (O) [2015-2016],i20,695000,30000,Diesel,Mumbai,14,6
243,2012,Mahindra,Mahindra Scorpio VLX Special Edition BS-IV,Scorpio,567000,88000,Diesel,Mumbai,24,9
244,2018,BMW,BMW X5 xDrive30d Pure Experience (5 Seater),X5,5675000,21000,Diesel,Mumbai,4,3
245,2018,Land Rover,Land Rover Range Rover Evoque SE Dynamic,Evoque,4500000,40000,Diesel,Mumbai,18,3
246,2010,Maruti Suzuki,Maruti Suzuki Estilo VXi,Estilo,145000,78500,Petrol,Mumbai,32,11
247,2019,Tata,Tata Tiago Revotron XZ,Tiago,475000,11733,Petrol,Delhi,40,2
248,2013,Hyundai,Hyundai Verna Fluidic 1.6 VTVT SX,Verna,450000,41931,Petrol,Delhi,14,8
249,2018,Mercedes-Benz,Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],E-Class,5175000,14880,Diesel,Delhi,2,3
250,2014,Honda,Honda Brio S MT,Brio,300000,41606,Petrol,Noida,7,7
251,2018,Jeep,Jeep Compass Limited Plus Petrol AT [2018-2020],Compass,1650000,16000,Petrol,Ghaziabad,19,3
252,2012,Jaguar,Jaguar XF 3.0 V6 Premium Luxury,XF,2050000,27300,Diesel,Panchkula,40,9
253,2017,BMW,BMW X1 xDrive20d M Sport,X1,2700000,18500,Diesel,Delhi,4,4
254,2014,Skoda,Skoda Rapid 1.6 MPI Ambition with Alloy Wheels,Rapid,445000,32000,Petrol,Delhi,27,7
255,2013,Maruti Suzuki,Maruti Suzuki Estilo LXi BS-IV,Estilo,215000,56567,Petrol,Delhi,32,8
256,2014,Hyundai,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],Grand,365000,51000,Petrol,Delhi,14,7
257,2015,Toyota,Toyota Innova 2.5 G BS IV 7 STR,Innova,925000,790000,Diesel,Delhi,1,6
258,2009,Hyundai,Hyundai Santro Xing GLS,Santro,150000,43000,Petrol,Delhi,14,12
259,2009,Honda,Honda City 1.5 S MT,City,260000,83000,Petrol,Delhi,7,12
260,2011,Mahindra,Mahindra Scorpio VLX 4WD Airbag BS-IV,Scorpio,465000,720000,Diesel,Delhi,24,10
261,2015,MINI,MINI Cooper Countryman one,Cooper,1700000,45000,Petrol,Delhi,39,6
262,2017,Mahindra,Mahindra XUV500 W6 AT 1.99,XUV500,1200000,28000,Diesel,Delhi,24,4
263,2017,Hyundai,Hyundai Creta SX Plus 1.6 Petrol,Creta,975000,55000,Petrol,Delhi,14,4
264,2017,Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi+ Dual Tone [2017-2018],Vitara,825000,39000,Diesel,Delhi,32,4
265,2016,BMW,BMW 3 Series GT 320d Luxury Line [2014-2016],3,2500000,20000,Diesel,Delhi,4,5
266,2008,Honda,Honda CR-V 2.4 AT,CR-V,390000,97000,Petrol,Delhi,7,13
267,2019,BMW,BMW 6 Series GT 630i Luxury Line [2018-2019],6,5500000,18000,Petrol,Delhi,4,2
268,2015,Datsun,Datsun GO T,GO,260000,54000,Petrol,Noida,50,6
269,2012,Volkswagen,Volkswagen Passat Highline DSG,Passat,590000,88000,Diesel,Delhi,3,9
270,2014,BMW,BMW 3 Series 320d Highline Sedan,3,1390000,66000,Diesel,Delhi,4,7
271,2010,Honda,Honda Jazz S,Jazz,265000,57000,Petrol,Delhi,7,11
272,2007,Maruti Suzuki,Maruti Suzuki Wagon R LXi Minor,Wagon,62500,75000,Petrol,Delhi,32,14
273,2018,Mercedes-Benz,Mercedes-Benz C-Class C 220d Progressive [2018-2019],C-Class,3500000,13000,Diesel,Delhi,2,3
274,2017,Mahindra,Mahindra XUV500 W10 AT 1.99,XUV500,1175000,59700,Diesel,Delhi,24,4
275,2015,Volkswagen,Volkswagen Polo GT TSI,Polo,565000,57000,Petrol,Delhi,3,6
276,2014,Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],Grand,385000,34000,Petrol,Delhi,14,7
277,2014,Honda,Honda Brio VX AT,Brio,450000,68000,Petrol,Delhi,7,7
278,2020,Hyundai,Hyundai Creta SX (O) 1.5 Petrol CVT,Creta,1875000,8000,Petrol,Delhi,14,1
279,2018,Mahindra,Mahindra KUV100 NXT K8 D 6 STR,KUV100,545000,32000,Diesel,Delhi,24,3
280,2012,Volkswagen,Volkswagen Jetta Highline TDI AT,Jetta,615000,59000,Diesel,Delhi,3,9
281,2012,Tata,Tata Nano Base,Nano,65000,18000,Petrol,Ghaziabad,40,9
282,2017,Mahindra,Mahindra XUV500 W10 AWD,XUV500,1050000,68000,Diesel,Delhi,24,4
283,2016,Maruti Suzuki,Maruti Suzuki Ciaz VDi SHVS,Ciaz,599000,53357,Diesel,Ghaziabad,32,5
284,2016,Hyundai,Hyundai Grand i10 Sportz U2 1.2 CRDi,Grand,425000,64000,Diesel,Delhi,14,5
285,2017,Toyota,Toyota Fortuner 2.8 4x2 AT [2016-2020],Fortuner,2990000,38000,Diesel,Delhi,1,4
286,2012,Mercedes-Benz,Mercedes-Benz E-Class E200,E-Class,1260000,54000,Petrol,Delhi,2,9
287,2016,Skoda,Skoda Superb L&K TSI AT,Superb,1650000,51000,Petrol,Delhi,27,5
288,2018,Honda,Honda City VX CVT,City,1025000,31000,Petrol,Delhi,7,3
289,2012,Honda,Honda Brio V MT,Brio,299000,85000,Petrol,Noida,7,9
290,2021,Tata,Tata Safari XZA Plus,Safari,2190000,5500,Diesel,Delhi,40,0
291,2015,Ford,Ford EcoSport Titanium 1.5 Ti-VCT,EcoSport,495000,69000,Petrol,Noida,8,6
292,2018,Honda,Honda City V,City,890000,17000,Petrol,Delhi,7,3
293,2013,Maruti Suzuki,Maruti Suzuki Swift DZire VDI,Swift,350000,72000,Diesel,Delhi,32,8
294,2017,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.2,Baleno,525000,60000,Petrol,Delhi,32,4
295,2019,Honda,Honda City ZX CVT Petrol [2017-2019],City,1200000,30500,Petrol,Delhi,7,2
296,2020,Renault,Renault Kwid 1.0 RXT Opt [2016-2019],Kwid,445000,11000,Petrol,Noida,15,1
297,2017,Mercedes-Benz,Mercedes-Benz E-Class E 250 CDI Edition E,E-Class,2700000,41000,Diesel,Delhi,2,4
298,2017,Ford,Ford EcoSport Ambiente 1.5L Ti-VCT,EcoSport,575000,60956,Petrol,Delhi,8,4
299,2018,Hyundai,Hyundai Elite i20 Sportz 1.2,Elite,655000,30834,Petrol,Delhi,14,3
300,2017,Honda,Honda Jazz SV Petrol,Jazz,575000,28000,Petrol,Delhi,7,4
301,2018,Maruti Suzuki,Maruti Suzuki Vitara Brezza VDi (O) [2016-2018],Vitara,790000,39000,Diesel,Delhi,32,3
302,2014,Maruti Suzuki,Maruti Suzuki Celerio VXi,Celerio,345000,65000,Petrol,Delhi,32,7
303,2015,Hyundai,Hyundai Creta 1.6 S Plus AT,Creta,835000,69000,Diesel,Delhi,14,6
304,2015,BMW,BMW 7 Series 730Ld Eminence,7,3700000,66000,Diesel,Dehradun,4,6
305,2015,BMW,BMW 7 Series 730Ld Prestige,7,3700000,48000,Diesel,Dehradun,4,6
306,2013,BMW,BMW 7 Series 730Ld Sedan,7,2900000,59000,Diesel,Dehradun,4,8
307,2018,BMW,BMW X1 sDrive20d Expedition,X1,2500000,33500,Diesel,Dehradun,4,3
308,2016,BMW,BMW Z4 sDrive 35i,Z4,4850000,26700,Petrol,Dehradun,4,5
309,2017,Jaguar,Jaguar F-Pace Prestige [2016-2017],F-Pace,3700000,45700,Diesel,Dehradun,40,4
310,2018,Jaguar,Jaguar XE Prestige Diesel,XE,3500000,23500,Diesel,Dehradun,40,3
311,2012,Lamborghini,Lamborghini Gallardo India Ltd Edition LP 550-2,Gallardo,12500000,14500,Petrol,Dehradun,45,9
312,2020,MINI,MINI Countryman Cooper S [2020-2021],Countryman,3850000,6517,Petrol,Dehradun,39,1
313,2014,Mercedes-Benz,Mercedes-Benz C-Class C 200 Avantgarde,C-Class,2700000,22000,Petrol,Dehradun,2,7
314,2017,Mercedes-Benz,Mercedes-Benz C-Class C 220 CDI Avantgarde,C-Class,2900000,44000,Diesel,Dehradun,2,4
315,2018,Audi,Audi A6 35 TDI Matrix,A6,3750000,22000,Diesel,Dehradun,10,3
316,2013,Audi,Audi Q7 3.0 TDI quattro Premium Plus,Q7,1675000,50000,Diesel,Delhi,10,8
317,2020,MG,MG Hector Plus Sharp 1.5 DCT Petrol,Hector,1950000,4500,Petrol,Delhi,81,1
318,2018,Maruti Suzuki,Maruti Suzuki Vitara Brezza VDi (O) [2016-2018],Vitara,769000,47201,Diesel,Delhi,32,3
319,2017,Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi+ Dual Tone [2017-2018],Vitara,825000,18500,Diesel,Delhi,32,4
320,2017,Renault,Renault Kwid CLIMBER 1.0 [2017-2019],Kwid,345000,17453,Petrol,Delhi,15,4
321,2015,Audi,Audi Q3 35 TDI Premium Plus,Q3,1650000,67000,Diesel,Delhi,10,6
322,2019,Hyundai,Hyundai Creta E Plus 1.6 Petrol,Creta,975000,18854,Petrol,Delhi,14,2
323,2017,Tata,Tata Tiago Revotron XZA [2017-2019],Tiago,395000,32445,Petrol,Delhi,40,4
324,2012,Maruti Suzuki,Maruti Suzuki Swift DZire VDI,Swift,245000,66000,Diesel,Ghaziabad,32,9
325,2020,Hyundai,Hyundai Creta SX 1.5 Petrol,Creta,1690000,14320,Petrol,Delhi,14,1
326,2017,Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi+ Dual Tone [2017-2018],Vitara,825000,18500,Diesel,Delhi,32,4
327,2020,Maruti Suzuki,Maruti Suzuki Vitara Brezza VXi,Vitara,860000,12240,Petrol,Ghaziabad,32,1
328,2011,Maruti Suzuki,Maruti Suzuki Swift LXi,Swift,260000,55000,Petrol + 1,Delhi,32,10
329,2015,Audi,Audi Q3 35 TDI Premium Plus,Q3,1650000,67000,Diesel,Delhi,10,6
330,2014,Renault,Renault Duster 85 PS RxL Diesel,Duster,445000,71000,Diesel,Noida,15,7
331,2017,Renault,Renault Kwid CLIMBER 1.0 [2017-2019],Kwid,345000,17453,Petrol,Delhi,15,4
332,2020,Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI+ (O),Wagon,565000,7823,Petrol,Delhi,32,1
333,2020,Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.3 Hybrid,Ciaz,1085000,8000,Diesel,Delhi,32,1
334,2014,Honda,Honda Brio S MT,Brio,300000,41606,Petrol,Noida,7,7
335,2013,Audi,Audi Q7 3.0 TDI quattro Premium Plus,Q7,1675000,50000,Diesel,Delhi,10,8
336,2019,Hyundai,Hyundai Creta E Plus 1.6 Petrol,Creta,975000,18854,Petrol,Delhi,14,2
337,2012,Maruti Suzuki,Maruti Suzuki Swift DZire VDI,Swift,245000,66000,Diesel,Ghaziabad,32,9
338,2020,Hyundai,Hyundai Creta SX 1.5 Petrol,Creta,1690000,14320,Petrol,Delhi,14,1
339,2014,Hyundai,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],Grand,365000,40000,Petrol,Noida,14,7
340,2015,Audi,Audi A6 2.0 TDI Premium,A6,1975000,75000,Diesel,Delhi,10,6
341,2019,Hyundai,Hyundai Creta SX 1.6 AT Petrol,Creta,1475000,10000,Petrol,Delhi,14,2
342,2017,Audi,Audi Q7 45 TDI Technology Pack,Q7,5900000,31000,Diesel,Delhi,10,4
343,2019,Audi,Audi Q3 35 TDI quattro Premium Plus,Q3,3100000,14000,Diesel,Delhi,10,2
344,2018,BMW,BMW X1 sDrive20d xLine,X1,2750000,21000,Diesel,Delhi,4,3
345,2017,Ford,Ford Mustang GT Fastback 5.0L v8,Mustang,7200000,17000,Petrol,Delhi,8,4
346,2015,Mercedes-Benz,Mercedes-Benz SLK 350,SLK,3750000,32000,Petrol,Delhi,2,6
347,2018,BMW,BMW 7 Series 730Ld DPE,7,6950000,31000,Diesel,Delhi,4,3
348,2019,Jaguar,Jaguar XE Prestige Diesel,XE,3300000,27000,Diesel,Delhi,40,2
349,2019,BMW,BMW 5 Series 530d M Sport [2013-2017],5,5500000,9800,Diesel,Delhi,4,2
350,2018,BMW,BMW 7 Series 730Ld DPE,7,6950000,31000,Diesel,Delhi,4,3
351,2019,Jaguar,Jaguar XE Prestige Diesel,XE,3300000,27000,Diesel,Delhi,40,2
352,2019,BMW,BMW 5 Series 530d M Sport [2013-2017],5,5500000,9800,Diesel,Delhi,4,2
353,2012,Skoda,Skoda Rapid Active 1.6 MPI MT,Rapid,380000,30000,Petrol,Delhi,27,9
354,2016,Mercedes-Benz,Mercedes-Benz S-Class S 400,S-Class,6800000,30000,Petrol,Delhi,2,5
355,2020,BMW,BMW X7 xDrive30d DPE Signature [2019-2020],X7,11500000,12000,Diesel,Delhi,4,1
356,2019,Volkswagen,Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,Vento,1050000,38000,Petrol,Delhi,3,2
357,2018,Porsche,Porsche 718 Cayman [2017-2020],718,8600000,4000,Petrol,Faridabad,5,3
358,2018,Toyota,Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],Innova,2050000,80000,Diesel,Delhi,1,3
359,2012,Audi,Audi Q5 2.0 TDI quattro Premium Plus,Q5,1625000,14500,Diesel,Delhi,10,9
360,2015,Land Rover,Land Rover Range Rover Evoque Dynamic SD4,Evoque,2850000,41000,Diesel,Delhi,18,6
361,2016,Mercedes-Benz,Mercedes-Benz CLA 200 Petrol Sport (CBU),CLA,1851000,43000,Petrol,Delhi,2,5
362,2018,BMW,BMW 3 Series GT 330i M Sport [2017-2019],3,3750000,18000,Petrol,Delhi,4,3
363,2012,Tata,Tata Aria Pure 4x2,Aria,425000,2700,Diesel,Delhi,40,9
364,2019,Mercedes-Benz,Mercedes-Benz CLA 200 D Urban Sport,CLA,2800000,23000,Diesel,Delhi,2,2
365,2019,Jaguar,Jaguar F-Pace Prestige,F-Pace,5100000,13000,Diesel,Delhi,40,2
366,2020,BMW,BMW 7 Series 740Li DPE Signature,7,12100000,12000,Petrol,Delhi,4,1
367,2020,Jeep,Jeep Compass Limited Plus 2.0 Diesel 4x4 AT,Compass,2400000,17000,Diesel,Delhi,19,1
368,2019,Ford,Ford Endeavour Titanium 2.2 4x2 AT,Endeavour,3000000,40000,Diesel,Delhi,8,2
369,2018,BMW,BMW X1 sDrive20d xLine,X1,2900000,32000,Diesel,Delhi,4,3
370,2015,Audi,Audi A6 2.0 TDI Premium,A6,1975000,75000,Diesel,Delhi,10,6
371,2019,Hyundai,Hyundai Creta SX 1.6 AT Petrol,Creta,1475000,10000,Petrol,Delhi,14,2
372,2018,Honda,Honda Jazz VX CVT Petrol,Jazz,695000,32000,Petrol,Agra,7,3
373,2014,Audi,Audi A6 2.0 TDI Premium Plus,A6,1465000,75000,Diesel,Delhi,10,7
374,2017,Mahindra,Mahindra XUV500 W10 AT,XUV500,1275000,70000,Diesel,Delhi,24,4
375,2012,Mercedes-Benz,Mercedes-Benz E-Class E200,E-Class,1260000,54000,Petrol,Delhi,2,9
376,2018,Land Rover,Land Rover Range Rover 3.0 V6 Diesel Vogue,3,14700000,25000,Diesel,Delhi,18,3
377,2018,Toyota,Toyota Land Cruiser LC 200 VX,Land,14500000,90000,Diesel,Delhi,1,3
378,2020,Mercedes-Benz,Mercedes-Benz GLC 220d 4MATIC Progressive [2019-2021],GLC,5800000,12000,Diesel,Delhi,2,1
379,2019,Ford,Ford Mustang GT Fastback 5.0L v8,Mustang,7100000,7000,Petrol,Delhi,8,2
380,2019,Lexus,Lexus NX 300h Luxury [2017-2020],NX,5200000,30000,Petrol,Delhi,16,2
381,2019,Audi,Audi Q7 45 TDI Technology Pack,Q7,7300000,9000,Diesel,Delhi,10,2
382,2021,Mahindra,Mahindra Thar LX 4-STR Convertible Petrol AT,Thar,1811000,490,Petrol,Delhi,24,0
383,2017,Lexus,Lexus ES 300h,ES,3790000,16000,Petrol,Delhi,16,4
384,2015,Audi,Audi A6 35 TDI Premium,A6,2150000,14000,Diesel,Delhi,10,6
385,2008,BMW,BMW 5 Series 523i Sedan,5,485000,64000,Petrol,Delhi,4,13
386,2020,Mercedes-Benz,Mercedes-Benz GLS 350 d,GLS,8400000,14800,Diesel,Delhi,2,1
387,2014,Maruti Suzuki,Maruti Suzuki Ertiga VDi,Ertiga,550000,98500,Diesel,Lucknow,32,7
388,2018,Mercedes-Benz,Mercedes-Benz GLA 220 d 4MATIC,GLA,2850000,55000,Diesel,Lucknow,2,3
389,2019,Maruti Suzuki,Maruti Suzuki Dzire ZDi AMT,Dzire,875000,15500,Diesel,Lucknow,32,2
390,2014,Hyundai,Hyundai Verna Fluidic 1.6 CRDi SX,Verna,550000,115000,Diesel,Lucknow,14,7
391,2013,Audi,Audi Q5 2.0 TDI quattro Premium,Q5,1600000,74000,Diesel,Dehradun,10,8
392,2014,Audi,Audi Q7 3.0 TDI quattro Premium Plus,Q7,2800000,54500,Diesel,Dehradun,10,7
393,2015,BMW,BMW 5 Series 530d M Sport [2013-2017],5,2350000,77000,Diesel,Dehradun,4,6
394,2013,Audi,Audi A4 2.0 TDI (177bhp) Premium Sport,A4,1450000,63700,Diesel,Dehradun,10,8
395,2013,Audi,Audi A6 2.0 TDI Premium,A6,1650000,64000,Diesel,Dehradun,10,8
396,2018,Audi,Audi Q3 35 TDI quattro Premium Plus,Q3,2800000,43000,Diesel,Dehradun,10,3
397,2019,Toyota,Toyota Fortuner 2.8 4x4 MT [2016-2020],Fortuner,2675000,85000,Diesel,Lucknow,1,2
398,2019,Ford,Ford EcoSport Titanium + 1.5L Ti-VCT,EcoSport,950000,6372,Petrol,Delhi,8,2
399,2011,Toyota,Toyota Corolla Altis 1.8 G,Corolla,365000,35000,Petrol,Delhi,1,10
400,2019,Volkswagen,Volkswagen Ameo Trendline 1.2L (P),Ameo,495000,38000,Petrol,Noida,3,2
401,2015,Maruti Suzuki,Maruti Suzuki Swift DZire VXI,Swift,449000,67800,Petrol,Delhi,32,6
402,2017,Maruti Suzuki,Maruti Suzuki Vitara Brezza VDi (O) [2016-2018],Vitara,745000,67000,Diesel,Noida,32,4
403,2017,Toyota,Toyota Innova Crysta 2.7 GX AT 7 STR [2016-2020],Innova,1571000,73009,Petrol,Delhi,1,4
404,2017,BMW,BMW X1 xDrive20d M Sport,X1,2575000,60000,Diesel,Delhi,4,4
405,2019,Land Rover,Land Rover Range Rover Sport SE 3.0 Diesel [2018-2020],Sport,12300000,17000,Diesel,Delhi,18,2
406,2018,Toyota,Toyota Fortuner 2.7 4x2 AT [2016-2020],Fortuner,3075000,25000,Petrol,Delhi,1,3
407,2018,BMW,BMW 5 Series 520d Luxury Line [2017-2019],5,3950000,55000,Diesel,Delhi,4,3
408,2016,Honda,Honda City VX,City,800000,38000,Petrol,Delhi,7,5
409,2019,Audi,Audi A3 35 TFSI Technology,A3,2550000,15000,Petrol,Delhi,10,2
410,2012,Audi,Audi Q7 3.0 TDI quattro Premium Plus,Q7,1650000,65000,Diesel,Delhi,10,9
411,2015,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.2,Baleno,465000,58000,Petrol,Noida,32,6
412,2019,Toyota,Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],Innova,2325000,38000,Diesel,Delhi,1,2
413,2019,Tata,Tata Harrier XZ [2019-2020],Harrier,1625000,12000,Diesel,Delhi,40,2
414,2018,Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.4 MT,Ciaz,895000,27000,Petrol,Delhi,32,3
415,2017,Mercedes-Benz,Mercedes-Benz CLA 45 AMG 4MATIC [2017-2017],CLA,4300000,17000,Petrol,Dehradun,2,4
416,2016,Volvo,Volvo V40 D3 R-Design,V40,1750000,78000,Diesel,Dehradun,9,5
417,2018,Mercedes-Benz,Mercedes-Benz E-Class E 220d Expression [2019-2019],E-Class,4700000,38200,Diesel,Dehradun,2,3
418,2020,Land Rover,Land Rover Range Rover Evoque S [2020-2021],Evoque,5900000,9000,Diesel,Dehradun,18,1
419,2018,Mercedes-Benz,Mercedes-Benz GLC 220 d Sport,GLC,4500000,43000,Diesel,Dehradun,2,3
420,2019,Mercedes-Benz,Mercedes-Benz S-Class (W222) S 350D [2018-2020],S-Class,11000000,7111,Diesel,Dehradun,2,2
421,2015,Mercedes-Benz,Mercedes-Benz GLA 200 Sport,GLA,2050000,18000,Petrol,Dehradun,2,6
422,2018,Mercedes-Benz,Mercedes-Benz GLC 220 d Sport,GLC,4500000,43000,Diesel,Dehradun,2,3
423,2018,Mercedes-Benz,Mercedes-Benz E-Class E 220d Expression [2019-2019],E-Class,4700000,38200,Diesel,Dehradun,2,3
424,2014,Mercedes-Benz,Mercedes-Benz A-Class A 180 CDI Style,A-Class,1275000,56000,Diesel,Delhi,2,7
425,2017,Mercedes-Benz,Mercedes-Benz CLA 200 CDI Sport,CLA,2575000,22500,Diesel,Delhi,2,4
426,2010,Mitsubishi,Mitsubishi Outlander 2.4 MIVEC,Outlander,550000,75000,Petrol,Delhi,46,11
427,2018,BMW,BMW 5 Series 520d Luxury Line [2017-2019],5,4200000,24000,Diesel,Delhi,4,3
428,2014,Audi,Audi Q7 3.0 TDI quattro Premium Plus,Q7,2390000,57000,Diesel,Delhi,10,7
429,2020,Mercedes-Benz,Mercedes-Benz GLC 220 d Progressive,GLC,5700000,9000,Diesel,Delhi,2,1
430,2019,Toyota,Toyota Innova Crysta 2.7 ZX AT 7 STR,Innova,2175000,15800,Petrol,Delhi,1,2
431,2019,Honda,Honda City VX (O) MT BL,City,1145000,21963,Petrol,Delhi,7,2
432,2013,Hyundai,Hyundai Grand i10 Sportz AT 1.2 Kappa VTVT,Grand,370000,49350,Petrol,Delhi,14,8
433,2019,Mahindra,Mahindra Scorpio S11 2WD 8 STR,Scorpio,1675000,53500,Diesel,Lucknow,24,2
434,2018,Jeep,Jeep Compass Limited Plus Petrol AT [2018-2020],Compass,1650000,16000,Petrol,Ghaziabad,19,3
435,2012,Honda,Honda Brio S MT,Brio,235000,65000,Petrol,Noida,7,9
436,2019,MG,MG Hector Sharp 1.5 DCT Petrol [2019-2020],Hector,1640000,24000,Petrol,Delhi,81,2
437,2019,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.2,Baleno,635000,13000,Petrol,Delhi,32,2
438,2010,Maruti Suzuki,Maruti Suzuki Wagon R 1.0 LXi,Wagon,125000,71000,Petrol,Delhi,32,11
439,2017,BMW,BMW X5 xDrive35i Pure Experience (5 seater),X5,4700000,47000,Petrol,Delhi,4,4
440,2018,Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.4 AT,Ciaz,910000,34000,Petrol,Delhi,32,3
441,2017,Honda,Honda WR-V VX MT Diesel,WR-V,720000,73000,Diesel,Delhi,7,4
442,2018,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.3,Baleno,635000,70000,Diesel,Delhi,32,3
443,2021,Mahindra,Mahindra Thar LX 4-STR Hard Top Petrol AT,Thar,1850000,4000,Petrol,Delhi,24,0
444,2010,Honda,Honda City 1.5 S MT,City,310000,58000,Petrol,Delhi,7,11
445,2016,Maruti Suzuki,Maruti Suzuki Swift VXi [2014-2017],Swift,460000,29000,Petrol,Delhi,32,5
446,2019,Jaguar,Jaguar XE Prestige,XE,3390000,18000,Petrol,Delhi,40,2
447,2018,Mercedes-Benz,Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],E-Class,5175000,14880,Diesel,Delhi,2,3
448,2019,Maruti Suzuki,Maruti Suzuki Celerio VXi CNG [2019-2020],Celerio,535000,45000,CNG + 1,Delhi,32,2
449,2012,Maruti Suzuki,Maruti Suzuki Swift DZire VXI,Swift,320000,80000,Petrol,Delhi,32,9
450,2020,Mercedes-Benz,Mercedes-Benz CLA 200 CDI Sport (CBU),CLA,3000000,4000,Diesel,Delhi,2,1
451,2009,Maruti Suzuki,Maruti Suzuki Wagon R LXi Minor,Wagon,135000,75000,Petrol,Delhi,32,12
452,2019,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.2,Baleno,635000,13000,Petrol,Delhi,32,2
453,2018,Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.4 AT,Ciaz,910000,34000,Petrol,Delhi,32,3
454,2017,Ford,Ford Endeavour Titanium 3.2 4x4 AT,Endeavour,2750000,50000,Diesel,Delhi,8,4
455,2020,Kia,Kia Seltos GTX Plus AT 1.4 [2019-2020],Seltos,1850000,5800,Petrol,Delhi,20,1
456,2017,BMW,BMW X5 xDrive35i Pure Experience (5 seater),X5,4700000,47000,Petrol,Delhi,4,4
457,2016,Ford,Ford Mustang GT Fastback 5.0L v8,Mustang,7300000,23000,Petrol,Delhi,8,5
458,2014,Honda,Honda Brio S MT,Brio,325000,52000,Petrol,Delhi,7,7
459,2017,Honda,Honda WR-V VX MT Diesel,WR-V,720000,73000,Diesel,Delhi,7,4
460,2018,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.3,Baleno,635000,70000,Diesel,Delhi,32,3
461,2014,Hyundai,Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],Grand,395000,23000,Petrol,Delhi,14,7
462,2017,BMW,BMW X1 sDrive20d xLine,X1,2350000,48000,Diesel,Delhi,4,4
463,2020,Mercedes-Benz,Mercedes-Benz E-Class E 220d Exclusive [2019-2019],E-Class,5600000,8000,Diesel,Delhi,2,1
464,2020,MG,MG Hector Sharp 1.5 DCT Petrol [2019-2020],Hector,1825000,45000,Petrol,Delhi,81,1
465,2011,Hyundai,Hyundai i10 Sportz 1.2 Kappa2,i10,225000,71000,Petrol + 1,Delhi,14,10
466,2016,Renault,Renault Duster 110 PS RXZ 4X4 MT Diesel,Duster,545000,50000,Diesel,Delhi,15,5
467,2010,Honda,Honda City 1.5 S MT,City,310000,58000,Petrol,Delhi,7,11
468,2016,Maruti Suzuki,Maruti Suzuki Swift VXi [2014-2017],Swift,460000,29000,Petrol,Delhi,32,5
469,2012,Hyundai,Hyundai i10 Sportz 1.2 Kappa2,i10,245000,52000,Petrol,Delhi,14,9
470,2017,Ford,Ford Endeavour Titanium 3.2 4x4 AT,Endeavour,2950000,31000,Diesel,Delhi,8,4
471,2019,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.2,Baleno,635000,13000,Petrol,Delhi,32,2
472,2017,Ford,Ford Endeavour Titanium 3.2 4x4 AT,Endeavour,2750000,50000,Diesel,Delhi,8,4
473,2020,Kia,Kia Seltos GTX Plus AT 1.4 [2019-2020],Seltos,1850000,5800,Petrol,Delhi,20,1
474,2017,BMW,BMW X5 xDrive35i Pure Experience (5 seater),X5,4700000,47000,Petrol,Delhi,4,4
475,2016,Ford,Ford Mustang GT Fastback 5.0L v8,Mustang,7300000,23000,Petrol,Delhi,8,5
476,2012,Hyundai,Hyundai i10 Sportz 1.2 Kappa2,i10,245000,52000,Petrol,Delhi,14,9
477,2010,Honda,Honda City 1.5 S MT,City,310000,58000,Petrol,Delhi,7,11
478,2016,Maruti Suzuki,Maruti Suzuki Swift VXi [2014-2017],Swift,460000,29000,Petrol,Delhi,32,5
479,2015,Hyundai,Hyundai Elite i20 Asta 1.4 (O) CRDi,Elite,550000,55000,Diesel,Delhi,14,6
480,2018,Audi,Audi Q3 35 TDI quattro Premium Plus,Q3,2750000,37000,Diesel,Ghaziabad,10,3
481,2014,Chevrolet,Chevrolet Beat LS Diesel,Beat,195000,39000,Diesel,Delhi,12,7
482,2015,Honda,Honda Amaze 1.2 S i-VTEC,Amaze,390000,61000,Petrol,Ghaziabad,7,6
483,2014,Volkswagen,Volkswagen Polo GT TDI,Polo,385000,85000,Diesel,Delhi,3,7
